RMS,MAV,WL,target
549.282051899831,548.8502894954507,2374.0,mesaio
547.9170833921432,547.713399503722,2407.0,mesaio
549.3932584588503,549.2361455748553,1986.0,mesaio
550.2180201765907,549.9995864350703,2246.0,mesaio
548.6821609368722,548.4536807278743,2361.0,mesaio
551.9413039992392,551.7770885028949,2204.0,mesaio
550.5655641671118,550.4387923904053,2105.0,mesaio
550.3030926648751,550.0587262200165,2481.0,mesaio
551.4928892994822,551.262200165426,2510.0,mesaio
548.9090089283587,548.6476426799007,2458.0,mesaio
552.0813625290604,551.8449131513647,2472.0,mesaio
547.443827258385,547.1674937965261,2566.0,mesaio
548.0454196973843,547.8813068651779,2350.0,mesaio
548.4141940222994,547.8180314309346,3068.0,mesaio
548.1450866149845,547.9640198511166,2353.0,mesaio
551.1207848741187,550.9234904880066,2420.0,mesaio
549.0070746266158,548.7894954507858,2435.0,mesaio
547.4638039407812,547.1980976013234,2749.0,mesaio
551.5232729409826,551.3217535153019,2757.0,mesaio
553.0826264185022,552.8498759305211,2413.0,mesaio
548.4790576448092,548.2510339123243,2815.0,mesaio
550.044306434063,549.7870140612076,2705.0,mesaio
548.7782064287144,548.5181968569066,2550.0,mesaio
547.3607837098164,547.1765922249793,2293.0,mesaio
549.0714720230675,548.8279569892474,3204.0,mesaio
550.8729582481176,550.7117452440033,2388.0,mesaio
548.7877975436745,548.4280397022333,2732.0,mesaio
548.2674041031302,547.944582299421,3015.0,mesaio
550.9294586456957,550.7349048800662,2389.0,mesaio
550.9897283324566,550.6749379652606,2565.0,mesaio
550.1812886423969,549.9168734491315,2774.0,mesaio
550.0273291954403,549.7874276261373,2672.0,mesaio
550.5786297554822,550.2717121588089,3021.0,mesaio
549.6564228763855,549.4454094292804,2659.0,mesaio
550.6614760518568,550.4491315136477,2583.0,mesaio
548.5429866369504,548.370140612076,2302.0,mesaio
550.96743098687,550.7824648469809,2337.0,mesaio
549.0221960857974,548.8151364764268,2418.0,mesaio
547.3738052857352,546.9685690653432,2736.0,mesaio
550.5333255257804,550.3263027295285,2584.0,mesaio
548.9312806431114,548.5938792390406,2637.0,mesaio
549.1382680791629,548.9789081885856,2339.0,mesaio
551.7306042228063,551.5099255583126,2340.0,mesaio
550.5824151426839,550.3333333333334,2680.0,mesaio
550.4163669494121,550.1803143093466,2458.0,mesaio
547.7500512945068,547.559553349876,2445.0,mesaio
551.2192054796901,551.0334987593052,2380.0,mesaio
551.5688625103708,551.3722084367246,2636.0,mesaio
548.7947094933654,548.6141439205956,2380.0,mesaio
551.9149796370139,551.7253928866832,2647.0,mesaio
